word,com1,com2,com3,com5,com6,com7,com8,com9
چَشم,,,,,,,,
چـِشم,,,,,,,,
مِلک,,,,,,,,
مُلک,,,,,,,,
مَلِک,,,,,,,,
مَلَک,,,,,,,,
کـُشتی,,,,,,,,
کِشتی,,,,,,,,
می بـَرَد,,,,,,,,
می بُرد,,,,,,,,
سَحـَر,,,,,,,,
سِحر,,,,,,,,
کِرم,,,,,,,,
کـَرَم,,,,,,,,
کِرِم,,,,,,,,
کرُم,,,,,,,,
سَم,,,,,,,,
سُم,,,,,,,,
نِشـَسته,,,,,,,,
نـَشـُسته,,,,,,,,
می کَنـَد,,,,,,,,
می کُنـَد,,,,,,,,
سیر,,,,,,,,
شیر,,,,,,,,
ریش,,,,,,,,
زهر,,,,,,,,
دوش,,,,,,,,
بادیه ,,,,,,,,
شارع,,,,,,,,
خیر,,,,,,,,
پیچ,,,,,,,,
گاز,,,,,,,,
گور,,,,,,,,
زبان,,,,,,,,
